user_id,name,age,gender,city,profession,professional_summary,about_me,mbti
U021,User 21,27,Male,Delhi,Data Analyst,"Data Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ESFP
U022,User 22,28,Female,Mumbai,Software Engineer,"Software Engineer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INFP
U023,User 23,29,Male,Bengaluru,Data Scientist,"Data Scientist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISTJ
U024,User 24,30,Female,Hyderabad,Product Manager,"Product Manager with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISFJ
U025,User 25,23,Male,Pune,Marketing Specialist,"Marketing Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ESTJ
U026,User 26,24,Female,Chennai,UX Designer,"UX Designer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENTJ
U027,User 27,25,Male,Kolkata,Business Analyst,"Business Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENTP
U028,User 28,26,Female,Ahmedabad,HR Specialist,"HR Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INFJ
U029,User 29,27,Male,Jaipur,Financial Analyst,"Financial Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFJ
U030,User 30,28,Female,Chandigarh,Entrepreneur,"Entrepreneur with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFP
U031,User 31,29,Male,Delhi,Data Analyst,"Data Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INTJ
U032,User 32,30,Female,Mumbai,Software Engineer,"Software Engineer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISTP
U033,User 33,23,Male,Bengaluru,Data Scientist,"Data Scientist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INTJ
U034,User 34,24,Female,Hyderabad,Product Manager,"Product Manager with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFP
U035,User 35,25,Male,Pune,Marketing Specialist,"Marketing Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INTP
U036,User 36,26,Female,Chennai,UX Designer,"UX Designer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFJ
U037,User 37,27,Male,Kolkata,Business Analyst,"Business Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ESFP
U038,User 38,28,Female,Ahmedabad,HR Specialist,"HR Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INFP
U039,User 39,29,Male,Jaipur,Financial Analyst,"Financial Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISTJ
U040,User 40,30,Female,Chandigarh,Entrepreneur,"Entrepreneur with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISFJ
U041,User 41,23,Male,Delhi,Data Analyst,"Data Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ESTJ
U042,User 42,24,Female,Mumbai,Software Engineer,"Software Engineer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENTJ
U043,User 43,25,Male,Bengaluru,Data Scientist,"Data Scientist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENTP
U044,User 44,26,Female,Hyderabad,Product Manager,"Product Manager with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INFJ
U045,User 45,27,Male,Pune,Marketing Specialist,"Marketing Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFJ
U046,User 46,28,Female,Chennai,UX Designer,"UX Designer with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFP
U047,User 47,29,Male,Kolkata,Business Analyst,"Business Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INTJ
U048,User 48,30,Female,Ahmedabad,HR Specialist,"HR Specialist with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ISTP
U049,User 49,23,Male,Jaipur,Financial Analyst,"Financial Analyst with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",INTJ
U050,User 50,24,Female,Chandigarh,Entrepreneur,"Entrepreneur with experience in industry projects, analytics, and modern digital tools. Interested in career growth, innovation, and creating measurable business impact.","I enjoy solving real-world problems, collaborating with diverse teams, continuous learning, and building meaningful professional relationships.",ENFP
